epoch,train_loss,val_loss
1,0.9904313415288926,0.9224859118461609
2,0.33874015929177403,0.042479845136404036
3,0.01860730357778569,0.0063107288908213375
4,0.0027599626938657213,0.001871859224047512
5,0.0009834784582684127,0.0005929875333094969
6,0.0003519898367812857,0.00032667917548678815
7,0.00025321799572945264,0.0003195491444785148
8,0.00019823037885847346,0.0002067092849756591
9,0.0001502331945327266,0.00024344670382561162
10,0.0001662946800934151,0.00014338266919367015
11,0.00010987852365360596,0.0001478192782087717
12,0.00012143072478162745,8.62474858877249e-05
13,6.803861269872868e-05,0.00012008503981633111
14,6.311368573127159e-05,5.640342606056947e-05
15,6.527769983222242e-05,8.236063076765277e-05
16,7.37849208235275e-05,6.69175038638059e-05
17,4.750385681594101e-05,6.732565525453537e-05
18,4.6668669347127435e-05,6.544526841025799e-05
19,2.9777924495040983e-05,3.5172761272406206e-05
20,2.6066431443420392e-05,3.147925090161152e-05
21,2.7551792785137272e-05,2.6641248769010418e-05
22,2.7038613734475802e-05,3.353320134920068e-05
23,2.109657980327029e-05,2.1887803086428903e-05
24,1.9312311693890175e-05,1.6174724623851944e-05
25,1.5575480711049748e-05,1.4414768338610884e-05
26,1.5804271030598707e-05,2.0686032985395287e-05
27,1.3906303744685525e-05,1.1800906213466078e-05
28,1.2996226920828728e-05,1.4439001824939624e-05
29,1.1404969124365985e-05,1.0808255137817468e-05
30,1.1510531567182625e-05,8.53585779623245e-06
31,9.69792240539391e-06,1.155454347099294e-05
32,1.333800723841705e-05,9.68022086453857e-06
33,6.219566481983445e-06,7.609868498548167e-06
34,5.8840906604018525e-06,5.62332597837667e-06
35,5.873408849765838e-06,6.680765909550246e-06
36,8.56634940191725e-06,1.5232484838634263e-05
37,1.5081744095368776e-05,3.804998050327413e-05
38,1.5417787843337767e-05,5.585541430264129e-06
39,4.749174437771823e-06,3.5688368598130182e-06
40,3.554747187687705e-06,3.0129849847071454e-06
41,3.1572302380785308e-06,2.653420256137906e-06
42,3.7956990543837793e-06,4.62730190520233e-06
43,3.71042492209502e-06,8.006592724996154e-06
44,3.783743856426251e-06,2.0199358004902023e-06
45,2.6149363918648305e-06,1.8943947225125156e-06
46,2.2341743412349993e-06,6.717576343362452e-06
47,7.22084824171058e-06,6.472313270933228e-06
48,6.465255607205715e-06,1.0642454071785323e-05
49,2.4192796657492485e-05,2.5252313434975805e-06
50,6.6800190552385175e-06,3.0489146411127877e-06
51,4.858163314717482e-06,6.42288296148763e-06
52,6.630515167671547e-06,1.5176527995208743e-06
53,8.040003524456552e-06,5.214770362726995e-06
54,4.459096500871359e-06,2.9149898409741582e-06
55,1.580614178919859e-06,1.941233722391189e-06
56,1.964756170120078e-05,1.867834498625598e-06
57,5.231006313503409e-06,2.912008676503319e-06
58,1.6977232841478933e-06,1.7179423821289674e-06
59,1.5632045309151484e-06,1.289915326196933e-06
60,1.7780678926252829e-06,2.2288124910119222e-06
61,9.831700924678444e-06,7.446705512847984e-06
62,3.88027310502063e-06,1.9819817316601986e-05
63,1.2733911158117431e-05,2.6394781889393927e-05
64,1.0284382229504748e-05,1.822376943891868e-05
65,5.023718152112148e-06,1.6815986214169243e-06
66,1.3244956335256576e-06,1.2459087542993076e-06
67,1.9694028054573208e-06,3.0709747989021707e-06
68,6.0627222429351e-06,4.541476755548501e-06
69,6.698774495816906e-06,1.5031287375677493e-06
70,3.0686007107760816e-06,1.0748256840997782e-06
71,3.7911022891042496e-06,4.714041051556706e-06
72,6.491285555891106e-06,3.43197873007739e-05
73,2.7013808899785848e-05,1.89457773558388e-06
74,3.976401743936246e-06,4.475970808925922e-06
75,3.817987216810555e-06,4.7446946155105255e-06
76,2.84875439907258e-06,6.340205436572432e-06
77,3.7035260978276104e-06,4.5747985495836476e-06
78,1.1842570254808986e-06,1.1332271128594584e-06
79,1.5776940822812927e-06,3.2705534067645203e-06
80,4.250819394731783e-06,1.1599615936574991e-05
81,4.898974368453916e-05,4.9532210687175394e-05
82,0.00011089851753543674,1.0195116010436322e-05
