epoch,train_loss,val_loss
1,1.5391030643358645,1.2512121608077778
2,1.1155167450254175,0.8939146337498874
3,0.7865477331515813,0.6110953291791696
4,0.5325685950557328,0.4084730338254966
5,0.34859341944731786,0.26819465346091526
6,0.22280468460258604,0.1673385809105616
7,0.1367993537193974,0.09937376285948682
8,0.08121439922389022,0.05646162475610643
9,0.045445084148312526,0.03199680622932664
10,0.025085517040998293,0.016986166379021932
11,0.013062620596677975,0.008868492339590327
12,0.00664804758007105,0.004341326696497805
13,0.0032305483706939067,0.0020230068594138282
14,0.0014983598054578373,0.0009092098583077005
15,0.0006675101578496674,0.00040192599856590837
16,0.0002923588506219278,0.0001715411632809689
17,0.0001253756884979764,7.309757613982685e-05
18,5.488352043687082e-05,3.2795957992287596e-05
19,2.593510214265505e-05,1.737143813411741e-05
20,1.5126321637173725e-05,1.1338514723912573e-05
21,1.0905954592104102e-05,9.364904810348211e-06
22,9.471517543694681e-06,8.717686738972773e-06
23,9.018517211367331e-06,8.493218274315006e-06
24,8.84982876459198e-06,8.445409901422356e-06
25,8.807692677902303e-06,8.433523218134365e-06
26,8.790581017259963e-06,8.4323719484837e-06
27,8.784972784898391e-06,8.43389444128268e-06
28,8.786599099940674e-06,8.434417246847952e-06
29,8.78349829311448e-06,8.435456737822091e-06
30,8.783868235442574e-06,8.437993572205486e-06
31,8.785426186716287e-06,8.439532781385475e-06
32,8.78873439984776e-06,8.434867437637281e-06
33,8.784480349436543e-06,8.438241772280012e-06
34,8.78245020771347e-06,8.43796113992214e-06
35,8.784304117640619e-06,8.436565625433991e-06
36,8.78618387864444e-06,8.436486754546681e-06
37,8.796171619920512e-06,8.440945410453685e-06
38,8.788117264987476e-06,8.434185902860628e-06
39,8.783051090426918e-06,8.437634904139241e-06
40,8.788264354974075e-06,8.440911424029102e-06
41,8.783110136760916e-06,8.436300238939505e-06
42,8.788200289299727e-06,8.437101933885341e-06
43,8.791396863854165e-06,8.434604233698746e-06
44,8.785683593380357e-06,8.436504141238926e-06
45,8.78777486272988e-06,8.433087031968838e-06
46,8.785662554804455e-06,8.43784892746871e-06
47,8.791633408290248e-06,8.443246235429596e-06
48,8.789646810037312e-06,8.433887205017686e-06
49,8.786285833371815e-06,8.436462135956546e-06
