epoch,train_loss,val_loss
1,0.9863673260714523,0.5165379368361137
2,0.29768911814283444,0.11686519277578888
3,0.05393631528902376,0.014271288058955434
4,0.00551897855527915,0.000560093771180282
5,0.00014897541687477721,1.7352884629385746e-06
6,8.494841276489438e-07,8.453333774765663e-07
7,5.844652099691045e-07,3.1850271796528606e-07
8,3.535483868973797e-07,2.971781600911703e-07
9,3.5152485780039177e-07,2.972697209060312e-07
10,3.516847849947639e-07,2.9703573556975815e-07
11,3.516544784981533e-07,2.9683375904566886e-07
12,3.524158060413079e-07,2.969146974043492e-07
13,3.517863026354527e-07,2.9692288791655945e-07
14,3.51958586728691e-07,2.9734774854626254e-07
15,3.516138707293527e-07,2.9686112713342313e-07
16,3.527755288783679e-07,2.9682557723591624e-07
17,3.5321934236290193e-07,2.9730190109007725e-07
18,3.51950967414582e-07,2.9682885057784037e-07
19,3.514565816876815e-07,2.9718227460234647e-07
20,3.521309214761166e-07,2.9684223715847237e-07
21,3.519877135535132e-07,2.9727445585304543e-07
22,3.5179586113311735e-07,2.9681382776011284e-07
23,3.531383331618379e-07,2.968916947831164e-07
24,3.52922353745579e-07,2.968138546040385e-07
25,3.523219621399292e-07,2.9807413322798567e-07
26,3.520419897982558e-07,2.9688384028769337e-07
27,3.535178408899051e-07,2.9714148471051083e-07
28,3.523421280084913e-07,2.969912875564257e-07
29,3.5329865894131785e-07,2.9681673827212093e-07
30,3.529396698162651e-07,2.9689091625280015e-07
31,3.5195701373754446e-07,2.9681440616733185e-07
32,3.525960848780714e-07,2.9690780454363306e-07
33,3.531166893721003e-07,2.971405942895735e-07
34,3.521568693483165e-07,2.968107845223344e-07
35,3.5231190103117745e-07,2.968771087348048e-07
