epoch,train_loss,val_loss
1,1.4656202500243922,1.0857861154348698
2,0.8987186664693865,0.6474618468803559
3,0.5119973384565403,0.36630206499646645
4,0.2789549398806383,0.18085796836512627
5,0.137102844638098,0.08316418707479672
6,0.06155134831033599,0.03668021074208333
7,0.025684525566683065,0.015222633255169005
8,0.010117148606056586,0.005354606293099499
9,0.0034580306607156015,0.0018187629259680802
10,0.0011245175691949475,0.0005466247188094419
11,0.0003278492925871674,0.0001517326846486564
12,8.84154478079436e-05,3.9003027568984726e-05
13,2.275819227853143e-05,1.0303419332963006e-05
14,6.55288248925147e-06,3.4429109638749174e-06
15,2.803251570917623e-06,2.1171004829261703e-06
16,2.0714355210650227e-06,1.890017157865474e-06
17,1.9497942019775895e-06,1.8543039233774103e-06
18,1.9331697634764676e-06,1.8517429512134816e-06
19,1.9305888448697313e-06,1.8517937551610511e-06
20,1.9360099408677436e-06,1.852749083513888e-06
21,1.9313123709850026e-06,1.852386529120884e-06
22,1.929633327655292e-06,1.8524296676182292e-06
23,1.9304351514044395e-06,1.8527156447993097e-06
24,1.9293424992546274e-06,1.8526645235134009e-06
25,1.929790702035984e-06,1.8520882219853835e-06
26,1.9304305822810133e-06,1.8517873016383014e-06
27,1.931887907344639e-06,1.8534557269171823e-06
28,1.9318436861926303e-06,1.8518035119547157e-06
29,1.931395574520478e-06,1.8523117171847958e-06
30,1.9319522212287553e-06,1.8518537590785224e-06
31,1.9308426773472055e-06,1.8525278799889902e-06
32,1.9325922168676697e-06,1.8519787829047527e-06
33,1.930849975576421e-06,1.853026763481653e-06
34,1.9307966840413873e-06,1.8557051453039662e-06
35,1.930146680051811e-06,1.8526300074164069e-06
36,1.9309958014766705e-06,1.852420157633188e-06
37,1.92972827351047e-06,1.8518333924777797e-06
38,1.9310534759616453e-06,1.851582012284003e-06
39,1.930545141036941e-06,1.8520011749910955e-06
40,1.930693778183102e-06,1.8519643925083695e-06
41,1.930050108294505e-06,1.8521132277770634e-06
42,1.930961193042655e-06,1.8512934216485e-06
43,1.934486834605648e-06,1.8513130396375345e-06
