epoch,train_loss,val_loss
1,1.4015802221776392,0.9302458004542459
2,0.6831465819392157,0.40692765416809495
3,0.2805309134694333,0.15073482644416109
4,0.09558256671139136,0.048443102180792105
5,0.027777715534841173,0.012176817511460726
6,0.006407655734610567,0.002488181241737961
7,0.0012499224551771459,0.00035504833080831407
8,0.00016460573576459686,4.701435567049145e-05
9,2.0402630117754146e-05,5.090089477651026e-06
10,2.534672540255006e-06,1.2563584386205498e-06
11,1.1192196200885093e-06,9.810368269418722e-07
12,1.0427674060608143e-06,9.651969820775695e-07
13,1.0378555360989952e-06,9.647660995728933e-07
14,1.0379885280318412e-06,9.638645539682498e-07
15,1.038929163049329e-06,9.650827604570558e-07
16,1.0401253444768237e-06,9.64820947237859e-07
17,1.0383533212548625e-06,9.640717912956914e-07
18,1.0379167699593705e-06,9.650705799603435e-07
19,1.0387412459704852e-06,9.645803708748065e-07
20,1.037707931384196e-06,9.646778365746783e-07
21,1.0379782493437137e-06,9.640047023361363e-07
22,1.0385552082529823e-06,9.637697150824213e-07
23,1.0384637859328256e-06,9.649595815305834e-07
24,1.0385290188497345e-06,9.66472976007434e-07
25,1.0459750031676232e-06,9.636246133660023e-07
26,1.0404441898917882e-06,9.666456185911725e-07
27,1.0377686359804596e-06,9.64085366977166e-07
28,1.0373167009359788e-06,9.64151670295122e-07
29,1.0383810477295404e-06,9.639667632212658e-07
30,1.0417234097348026e-06,9.633817604581701e-07
31,1.0390431091867122e-06,9.634687775229034e-07
32,1.0412138262637587e-06,9.64282036068228e-07
33,1.0382753092169342e-06,9.638212893265151e-07
34,1.036822561679494e-06,9.639146369098565e-07
35,1.0384147839152545e-06,9.656683793244758e-07
36,1.037080533538782e-06,9.63453565669576e-07
37,1.0419215468097679e-06,9.640327240887433e-07
38,1.0378193691089997e-06,9.650347430657103e-07
39,1.0393675708846031e-06,9.632790051066331e-07
