epoch,train_loss,val_loss
1,0.1739551665635856,0.020496003692550186
2,0.0042739902300371595,0.00025886421773293843
3,0.00025701582955979014,9.517225822723119e-05
4,7.469284185123653e-05,6.595318470113963e-05
5,6.493897904360324e-05,6.238700808394543e-05
6,6.524065927511802e-05,6.629339329270122e-05
7,6.52982778610551e-05,6.173037756569763e-05
8,6.355734918663917e-05,5.9960609082686355e-05
9,6.449512394648105e-05,6.204107807772671e-05
10,7.129293492914487e-05,6.465126349027618e-05
11,6.33125332089997e-05,6.157016490740905e-05
12,6.539899256683651e-05,6.073788838772921e-05
13,6.632560267505935e-05,6.298713806701969e-05
14,6.523847306597482e-05,5.984277628853566e-05
15,6.387298063608694e-05,6.057145406055511e-05
16,6.413399442561721e-05,5.986168741723625e-05
17,6.515834091534202e-05,6.353318299338171e-05
18,6.516340449923109e-05,5.9851596228281495e-05
19,6.461246621910862e-05,6.335848353865277e-05
20,6.833615690153865e-05,6.16795275594325e-05
21,6.438222557173961e-05,6.852491948979998e-05
22,6.597337275155301e-05,6.006154573680897e-05
23,6.41898931349835e-05,5.99951209533585e-05
24,6.725185239281305e-05,6.180848867891149e-05
25,6.343724516865473e-05,6.087827848011756e-05
26,6.38965839709786e-05,6.493736404243084e-05
27,6.746676159657975e-05,5.953277508294139e-05
28,6.58288354180814e-05,5.940343316897037e-05
29,6.503052784823145e-05,6.246233813145727e-05
30,6.630039314059698e-05,6.28153375746202e-05
31,6.570214426617214e-05,6.164016912504379e-05
32,6.696961626022626e-05,5.929084583539005e-05
33,6.481977967661228e-05,5.939161639171165e-05
34,6.584740493166961e-05,6.055609160773728e-05
