epoch,train_loss,val_loss
1,0.446743926157554,0.0836690455675125
2,0.06777724859615167,0.048148122429847715
3,0.029399344821770985,0.016654221899807455
4,0.00950142649623255,0.00454093529842794
5,0.0030849039282960194,0.0021657606586813925
6,0.001928586334300538,0.001463336800225079
7,0.001252746353081117,0.001014517026487738
8,0.0008620883076218888,0.0007167248870246113
9,0.0005855752174587299,0.000550508446758613
10,0.0004527413276567434,0.00046765996958129106
11,0.000351386610903622,0.00034254983474966136
12,0.00026311394710016125,0.0002553230297053233
13,0.00021239108294442607,0.00021232729050097988
14,0.00018395689767203294,0.00017720487812766805
15,0.00016369584651935534,0.00014282325428212063
16,0.00014254024596690822,0.00012142923078499735
17,0.00012325705974944868,0.00010271601349813864
18,0.00010219694437788955,9.364626384922303e-05
19,8.820597892433095e-05,9.332103800261394e-05
20,7.793010530197838e-05,6.237454363144934e-05
21,6.041135729901725e-05,4.734553876915015e-05
22,5.261561982479179e-05,4.379013080324512e-05
23,4.910667418395557e-05,3.925090277334675e-05
24,4.138200541395539e-05,4.26745606091572e-05
25,3.414454495214159e-05,2.7613614656729622e-05
26,3.021892046793558e-05,2.300372507306747e-05
27,2.650454413621143e-05,2.370914262428414e-05
28,2.7213014254812153e-05,1.9940809215768242e-05
29,1.8423822863648334e-05,1.5262229135259985e-05
30,1.7256847058888525e-05,1.6944013259490022e-05
31,1.5627020729880314e-05,1.3465615847962908e-05
32,1.3077605096138238e-05,1.2868425164924701e-05
33,1.2352852930537968e-05,1.0198940435657277e-05
34,1.2130172823769195e-05,1.1736430315067991e-05
35,1.3601629295105037e-05,9.812551525101298e-06
36,8.783929645990914e-06,8.948509548645234e-06
37,8.533926999613565e-06,6.928961738594808e-06
38,8.773333062587578e-06,8.259602054749848e-06
39,6.960294960360139e-06,9.874427269096486e-06
40,7.064814644763828e-06,7.088960501278052e-06
41,9.285228626746781e-06,8.571224861952942e-06
42,9.484907332080184e-06,1.826481893658638e-05
43,9.300556697174518e-06,1.0906818442890653e-05
44,7.380545677430443e-06,6.634428609686438e-06
45,5.934567722457966e-06,1.0762305828393437e-05
46,5.7866974202624984e-06,6.211831441760296e-06
47,5.439880862923019e-06,6.55484955132124e-06
48,6.524510013150575e-06,6.880330965941539e-06
49,9.45384495783704e-06,1.0322579510102513e-05
50,8.296986864782714e-06,1.1269006517977686e-05
51,5.377741183565377e-06,7.362321275650174e-06
52,6.760423032877346e-06,7.107027795427712e-06
53,4.645839514220521e-06,6.121283286120161e-06
54,5.145624489462837e-06,1.086142237909371e-05
55,5.2597264774097615e-06,5.9290868648531616e-06
56,5.318808435580043e-06,1.2860797596658813e-05
57,6.551238470819953e-06,6.382196352205937e-06
58,8.371742584737755e-06,7.279230885615107e-06
59,4.828696107021339e-06,8.726257237867686e-06
