epoch,train_loss,val_loss
1,0.8442907349827389,0.07181493192911148
2,0.05018468094058335,0.014244911819696426
3,0.003273301048223705,0.0002185845936764963
4,0.0003054034676703547,0.00018001324497163296
5,9.274604438663422e-05,0.0001294321242312435
6,7.015520768618443e-05,0.00012062407622579486
7,5.547510821391673e-05,5.640847375616431e-05
8,3.378025967322173e-05,5.503588126885006e-05
9,5.362202039880988e-05,4.2330934593337585e-05
10,3.9916929593649306e-05,4.7876397366053426e-05
11,2.8630441662850595e-05,3.353460288053611e-05
12,2.2605736724775245e-05,2.441456454107538e-05
13,2.8501205012313827e-05,6.308472293312662e-05
14,3.091934263466101e-05,2.8040582401445134e-05
15,4.606822725084688e-05,3.1904457682685464e-05
16,3.5773873545016004e-05,1.3177598975744332e-05
17,0.00013738068299365598,0.00015934131224639713
18,4.952487858342162e-05,1.922214469232131e-05
19,1.5536559809940325e-05,2.1758571347163524e-05
20,1.044153474367704e-05,1.1361543056409573e-05
21,1.1916513866102226e-05,9.94841293504578e-06
22,1.1044583394929457e-05,8.612661895313068e-06
23,5.907284719341987e-06,7.926136368041625e-06
24,8.843785637206263e-06,3.820613915195281e-06
25,6.335852594929747e-06,3.7023093682364562e-06
26,8.624501621549522e-06,1.0121232571691508e-05
27,1.756541200090093e-05,1.5083535981830209e-05
28,2.4839753840903238e-05,5.091259881737642e-05
29,7.149012061139123e-05,2.1055698016425595e-05
30,8.698950059624622e-05,6.838197004981339e-05
31,2.0893171949865064e-05,5.12916767547722e-06
32,4.203354308174312e-06,4.5895174935139945e-06
33,2.2810722271060513e-06,2.7670279905578356e-06
34,3.093248418887621e-06,4.80381672787189e-06
35,3.3983442979964214e-06,2.3142704094425427e-06
36,3.129485931670691e-06,1.0539268259890378e-05
37,9.593397658136383e-06,1.1153328341606538e-05
38,2.747973511911065e-06,2.0187011614325455e-06
39,2.38200209992101e-06,3.624038890848169e-06
40,5.504221318612205e-06,4.343521050031996e-06
41,3.3334504413081354e-06,5.442111796583049e-06
42,3.0777865655788143e-06,1.5123209777812008e-06
43,1.8289928902959218e-06,4.836052175960503e-06
44,7.917422131716496e-06,1.0705163549573627e-05
45,3.3240486933057884e-06,1.2029581739625428e-06
46,2.678829112786237e-06,3.14763565256726e-06
47,2.515437472538906e-06,1.3680871688848129e-06
48,2.4407807738195213e-06,9.240610415872652e-06
49,2.6024390156938657e-06,2.1409978671727e-06
50,1.8052158300937057e-06,1.7092043435695814e-06
51,1.3847625988698079e-06,1.1502352890602196e-06
52,1.8674014654607163e-06,4.515997716225684e-06
53,3.1692294688430894e-06,5.0293263029743684e-06
54,9.533633654730996e-06,1.574226671436918e-05
55,7.996686046377969e-06,3.615634477682761e-06
56,1.8837511690132183e-05,9.838008736551274e-06
57,2.270035991311185e-05,9.470083896303549e-05
58,0.00039231191458384275,0.0004329334828071296
59,0.0018084204352514159,0.007908586785197258
60,0.0016733949543170942,0.00017567261529620736
61,0.00016204387135682435,8.535029610357015e-06
62,8.071401377189128e-06,4.714548140327679e-06
63,4.17844824672405e-06,1.0017279805651924e-06
